Rented Bike Count,Hour,Temperature(Celsius),Humidity(%),Wind speed (m/s),Visibility (10m),Dew point temperature(Celsius),Solar Radiation (MJ/m2),Rainfall(mm),Snowfall (cm),Year,Month,DayOfWeek
41,4,2.8,89,1.5,130,1.1,0.0,0.0,0.0,2017,12,0
82,5,2.0,83,2.7,253,-0.5,0.0,0.0,0.0,2017,12,0
200,6,1.2,76,3.7,371,-2.5,0.0,0.1,0.0,2017,12,0
498,7,0.2,68,3.4,702,-5.0,0.0,0.0,0.0,2017,12,0
937,8,-0.8,69,3.5,954,-5.7,0.01,0.0,0.0,2017,12,0
509,9,-1.5,47,4.2,1888,-11.3,0.22,0.0,0.0,2017,12,0
311,10,-1.1,40,4.5,2000,-13.0,0.64,0.0,0.0,2017,12,0
379,11,-0.5,41,4.1,1799,-12.1,0.94,0.0,0.0,2017,12,0
393,12,-0.3,38,4.8,1823,-12.9,1.11,0.0,0.0,2017,12,0
391,13,0.0,30,5.4,1938,-15.5,1.17,0.0,0.0,2017,12,0
338,14,0.1,27,4.5,2000,-16.7,1.09,0.0,0.0,2017,12,0
341,15,-0.1,25,5.8,2000,-17.8,0.88,0.0,0.0,2017,12,0
375,16,-0.2,23,4.7,2000,-18.8,0.55,0.0,0.0,2017,12,0
515,17,-1.3,26,5.3,2000,-18.3,0.18,0.0,0.0,2017,12,0
807,18,-2.1,29,3.9,2000,-17.7,0.0,0.0,0.0,2017,12,0
568,19,-2.9,32,3.2,2000,-17.3,0.0,0.0,0.0,2017,12,0
398,20,-3.6,38,3.0,2000,-15.8,0.0,0.0,0.0,2017,12,0
397,21,-4.6,43,4.5,2000,-15.3,0.0,0.0,0.0,2017,12,0
353,22,-5.3,45,2.5,2000,-15.3,0.0,0.0,0.0,2017,12,0
248,23,-5.8,44,2.4,2000,-16.1,0.0,0.0,0.0,2017,12,0
216,0,-6.1,42,2.6,2000,-16.9,0.0,0.0,0.0,2017,12,1
198,1,-6.5,41,2.8,2000,-17.6,0.0,0.0,0.0,2017,12,1
124,2,-6.8,41,2.5,2000,-17.8,0.0,0.0,0.0,2017,12,1
62,3,-6.9,39,2.0,2000,-18.5,0.0,0.0,0.0,2017,12,1
42,4,-7.2,34,3.0,2000,-20.4,0.0,0.0,0.0,2017,12,1
82,5,-7.4,33,2.6,2000,-20.9,0.0,0.0,0.0,2017,12,1
172,6,-7.4,34,3.2,2000,-20.6,0.0,0.0,0.0,2017,12,1
381,7,-7.5,33,2.2,2000,-21.0,0.0,0.0,0.0,2017,12,1
812,8,-8.1,36,1.6,2000,-20.5,0.01,0.0,0.0,2017,12,1
462,9,-7.6,31,1.3,1974,-21.8,0.21,0.0,0.0,2017,12,1
269,10,-5.5,26,2.8,1967,-22.0,0.64,0.0,0.0,2017,12,1
334,11,-3.9,25,0.0,1959,-21.0,0.0,0.0,0.0,2017,12,1
321,12,-2.3,25,0.0,1962,-19.7,0.0,0.0,0.0,2017,12,1
325,13,-1.6,27,0.0,1955,-18.2,0.0,0.0,0.0,2017,12,1
334,14,-1.1,28,0.0,2000,-17.3,0.0,0.0,0.0,2017,12,1
353,15,-0.7,28,0.0,2000,-16.9,0.0,0.0,0.0,2017,12,1
435,16,-0.5,30,0.0,2000,-16.0,0.0,0.0,0.0,2017,12,1
529,17,-1.6,35,0.0,2000,-15.1,0.0,0.0,0.0,2017,12,1
789,18,-2.6,40,0.0,2000,-14.4,0.0,0.0,0.0,2017,12,1
597,19,-3.2,45,0.0,2000,-13.5,0.0,0.0,0.0,2017,12,1
418,20,-3.5,46,0.0,2000,-13.4,0.0,0.0,0.0,2017,12,1
415,21,-3.7,47,0.0,2000,-13.3,0.0,0.0,0.0,2017,12,1
393,22,-2.8,49,0.0,2000,-12.0,0.0,0.0,0.0,2017,12,1
244,23,-2.5,59,0.0,1210,-9.4,0.0,0.0,0.0,2017,12,1
145,0,-2.8,77,0.0,331,-6.2,0.0,0.1,0.1,2017,12,2
144,1,-3.0,79,0.0,293,-6.1,0.0,0.0,0.3,2017,12,2
117,2,-3.0,79,0.0,1862,-6.1,0.0,0.0,0.4,2017,12,2
78,3,-3.2,78,0.0,1808,-6.4,0.0,0.2,0.4,2017,12,2
58,4,-3.4,75,0.0,1982,-7.2,0.0,0.0,0.4,2017,12,2
87,5,-3.6,76,0.0,1934,-7.2,0.0,0.0,0.4,2017,12,2
142,6,-3.7,76,0.0,1864,-7.3,0.0,0.0,0.4,2017,12,2
379,7,-4.2,77,0.0,1741,-7.6,0.0,0.0,0.3,2017,12,2
802,8,-4.2,78,0.0,1518,-7.4,0.01,0.0,0.2,2017,12,2
440,9,-3.3,70,0.0,1324,-7.9,0.25,0.0,0.2,2017,12,2
307,10,-0.9,64,0.0,1224,-6.8,0.63,0.0,0.2,2017,12,2
381,11,1.6,57,1.2,1261,-6.0,0.93,0.0,0.0,2017,12,2
405,12,2.4,52,0.9,1224,-6.4,1.08,0.0,0.0,2017,12,2
442,13,4.2,47,1.1,1469,-6.1,1.1,0.0,0.0,2017,12,2
416,14,5.5,34,1.0,1966,-9.1,0.96,0.0,0.0,2017,12,2
412,15,5.5,31,3.1,1968,-10.3,0.72,0.0,0.0,2017,12,2
496,16,5.3,37,2.9,2000,-8.2,0.36,0.0,0.0,2017,12,2
239,17,4.1,60,2.5,1565,-2.9,0.1,0.0,0.0,2017,12,2
204,18,1.7,90,1.0,66,0.2,0.0,0.3,0.3,2017,12,2
205,19,1.2,92,0.7,180,0.0,0.0,0.0,1.0,2017,12,2
190,20,1.2,94,0.6,228,0.3,0.0,0.0,1.0,2017,12,2
165,21,1.1,92,0.5,235,0.0,0.0,0.7,1.0,2017,12,2
222,22,1.3,92,0.6,233,0.1,0.0,0.0,1.0,2017,12,2
193,23,1.3,92,0.6,209,0.1,0.0,0.0,1.0,2017,12,2
198,0,1.4,92,0.5,240,0.2,0.0,0.0,0.9,2017,12,3
218,1,1.5,92,0.4,227,0.3,0.0,0.0,0.9,2017,12,3
149,2,1.4,92,0.7,168,0.2,0.0,0.0,0.9,2017,12,3
102,3,1.9,91,1.4,218,0.5,0.0,0.0,0.9,2017,12,3
62,4,1.6,92,0.7,119,0.4,0.0,0.0,0.9,2017,12,3
83,5,1.5,92,1.1,175,0.3,0.0,0.0,0.9,2017,12,3
137,6,1.0,93,0.5,148,0.0,0.0,0.0,0.9,2017,12,3
367,7,0.3,93,0.5,173,-0.7,0.0,0.0,0.9,2017,12,3
754,8,-0.2,96,0.8,173,-0.7,0.01,0.0,0.8,2017,12,3
415,9,0.1,91,0.8,265,-1.1,0.14,0.0,0.8,2017,12,3
321,10,1.1,83,0.7,311,-1.4,0.41,0.0,0.7,2017,12,3
333,11,2.3,69,1.7,628,-2.8,0.63,0.0,0.6,2017,12,3
431,12,3.7,65,2.4,833,-2.2,0.98,0.0,0.3,2017,12,3
394,13,4.1,37,3.1,1767,-9.3,1.14,0.0,0.0,2017,12,3
390,14,4.4,36,2.7,1975,-9.4,1.04,0.0,0.0,2017,12,3
430,15,4.0,35,3.1,1962,-10.1,0.84,0.0,0.0,2017,12,3
471,16,3.2,38,2.9,1817,-9.7,0.51,0.0,0.0,2017,12,3
552,17,2.1,50,2.0,1434,-7.2,0.15,0.0,0.0,2017,12,3
795,18,0.7,46,2.7,1558,-9.6,0.0,0.0,0.0,2017,12,3
507,19,-0.4,47,2.5,1269,-10.3,0.0,0.0,0.0,2017,12,3
390,20,-1.4,47,2.5,1620,-11.2,0.0,0.0,0.0,2017,12,3
402,21,-2.2,46,2.2,1975,-12.2,0.0,0.0,0.0,2017,12,3
389,22,-2.7,48,2.6,1844,-12.2,0.0,0.0,0.0,2017,12,3
259,23,-3.2,50,2.1,1887,-12.1,0.0,0.0,0.0,2017,12,3
233,0,-3.5,49,2.6,1893,-12.6,0.0,0.0,0.0,2017,12,4
230,1,-3.7,50,2.5,1902,-12.6,0.0,0.0,0.0,2017,12,4
131,2,-4.3,53,1.0,1918,-12.4,0.0,0.0,0.0,2017,12,4
99,3,-4.8,52,1.6,1978,-13.1,0.0,0.0,0.0,2017,12,4
71,4,-5.3,53,2.4,1936,-13.4,0.0,0.0,0.0,2017,12,4
84,5,-5.8,56,2.0,1941,-13.1,0.0,0.0,0.0,2017,12,4
158,6,-6.0,56,3.5,1853,-13.3,0.0,0.0,0.0,2017,12,4
387,7,-6.5,57,0.8,1776,-13.6,0.0,0.0,0.0,2017,12,4
780,8,-7.0,59,0.8,1559,-13.6,0.01,0.0,0.0,2017,12,4
395,9,-6.7,50,0.9,1492,-15.4,0.23,0.0,0.0,2017,12,4
261,10,-5.3,44,2.8,1516,-15.6,0.63,0.0,0.0,2017,12,4
310,11,-3.7,39,1.4,1595,-15.6,0.93,0.0,0.0,2017,12,4
355,12,-2.0,30,1.4,1728,-17.3,1.14,0.0,0.0,2017,12,4
354,13,-1.7,28,1.8,1963,-17.8,1.22,0.0,0.0,2017,12,4
350,14,-1.3,27,3.1,1906,-17.9,1.12,0.0,0.0,2017,12,4
362,15,-0.8,26,3.3,1977,-17.9,0.87,0.0,0.0,2017,12,4
401,16,-1.1,24,3.4,2000,-19.1,0.56,0.0,0.0,2017,12,4
500,17,-2.4,30,2.7,2000,-17.6,0.18,0.0,0.0,2017,12,4
752,18,-3.1,33,1.2,2000,-17.1,0.0,0.0,0.0,2017,12,4
477,19,-3.3,35,1.1,2000,-16.6,0.0,0.0,0.0,2017,12,4
384,20,-3.3,34,1.5,2000,-16.9,0.0,0.0,0.0,2017,12,4
336,21,-3.3,35,0.5,2000,-16.6,0.0,0.0,0.0,2017,12,4
347,22,-3.4,39,1.2,2000,-15.4,0.0,0.0,0.0,2017,12,4
275,23,-3.5,43,0.9,2000,-14.3,0.0,0.0,0.0,2017,12,4
267,0,-3.5,48,0.9,1967,-12.9,0.0,0.0,0.0,2017,12,5
296,1,-4.1,49,0.6,2000,-13.2,0.0,0.0,0.0,2017,12,5
237,2,-4.7,50,0.7,1983,-13.5,0.0,0.0,0.0,2017,12,5
169,3,-4.3,47,0.6,1992,-13.9,0.0,0.0,0.0,2017,12,5
96,4,-4.3,49,0.7,2000,-13.4,0.0,0.0,0.0,2017,12,5
56,5,-4.7,49,0.8,1999,-13.8,0.0,0.0,0.0,2017,12,5
76,6,-5.1,53,0.9,1975,-13.2,0.0,0.0,0.0,2017,12,5
127,7,-5.5,56,0.8,1950,-12.9,0.0,0.0,0.0,2017,12,5
222,8,-5.4,56,0.7,1940,-12.8,0.01,0.0,0.0,2017,12,5
291,9,-4.7,48,1.0,1784,-14.0,0.23,0.0,0.0,2017,12,5
273,10,-2.2,42,1.3,1646,-13.4,0.61,0.0,0.0,2017,12,5
351,11,0.0,45,1.1,1500,-10.5,0.89,0.0,0.0,2017,12,5
427,12,2.4,40,0.8,1809,-9.8,1.05,0.0,0.0,2017,12,5
431,13,3.9,36,2.0,1702,-9.8,1.13,0.0,0.0,2017,12,5
486,14,4.7,32,2.2,1948,-10.6,1.06,0.0,0.0,2017,12,5
569,15,5.2,30,2.0,1963,-11.0,0.84,0.0,0.0,2017,12,5
546,16,4.4,33,1.6,1963,-10.5,0.4,0.0,0.0,2017,12,5
481,17,3.5,37,1.8,1963,-9.8,0.1,0.0,0.0,2017,12,5
384,18,2.5,41,1.0,1974,-9.4,0.0,0.0,0.0,2017,12,5
275,19,1.5,48,0.4,1878,-8.3,0.0,0.0,0.0,2017,12,5
298,20,0.8,51,1.4,1848,-8.2,0.0,0.0,0.0,2017,12,5
321,21,-0.1,55,0.7,1654,-8.0,0.0,0.0,0.0,2017,12,5
289,22,-0.5,55,0.6,1655,-8.4,0.0,0.0,0.0,2017,12,5
265,23,-0.1,54,1.3,1570,-8.3,0.0,0.0,0.0,2017,12,5
326,0,-0.2,55,1.0,1629,-8.1,0.0,0.0,0.0,2017,12,6
280,1,-0.2,54,0.5,1747,-8.4,0.0,0.0,0.0,2017,12,6
243,2,0.2,52,0.7,1726,-8.5,0.0,0.0,0.0,2017,12,6
169,3,0.3,53,0.5,1748,-8.1,0.0,0.0,0.0,2017,12,6
71,4,0.4,52,1.6,1816,-8.3,0.0,0.0,0.0,2017,12,6
13,5,0.3,74,1.0,178,-3.7,0.0,0.0,0.7,2017,12,6
9,6,-0.5,90,0.9,91,-1.9,0.0,2.5,2.7,2017,12,6
20,7,-0.4,92,1.1,121,-1.5,0.0,0.0,4.0,2017,12,6
35,8,-0.2,90,1.2,378,-1.6,0.0,0.0,4.1,2017,12,6
31,9,0.2,90,1.0,305,-1.2,0.0,1.6,4.3,2017,12,6
19,10,0.5,91,0.4,143,-0.8,0.0,0.0,4.3,2017,12,6
58,11,0.9,92,0.9,137,-0.2,0.03,0.0,3.9,2017,12,6
119,12,2.3,88,0.3,245,0.5,0.28,0.0,3.1,2017,12,6
182,13,3.3,87,1.1,230,1.3,0.54,0.0,2.1,2017,12,6
235,14,4.2,85,0.7,325,1.8,0.65,0.0,1.4,2017,12,6
180,15,6.7,63,4.5,715,0.1,0.35,0.0,1.0,2017,12,6
214,16,5.4,71,3.5,622,0.5,0.2,0.0,0.5,2017,12,6
226,17,3.6,65,4.3,1061,-2.3,0.03,0.0,0.4,2017,12,6
210,18,2.0,61,3.0,2000,-4.7,0.0,0.0,0.0,2017,12,6
181,19,1.6,53,4.0,2000,-6.9,0.0,0.0,0.0,2017,12,6
165,20,0.6,57,3.9,1954,-6.9,0.0,0.0,0.0,2017,12,6
167,21,0.0,59,3.0,1862,-7.0,0.0,0.0,0.0,2017,12,6
152,22,-1.0,56,4.7,2000,-8.6,0.0,0.0,0.0,2017,12,6
148,23,-1.4,43,4.3,2000,-12.3,0.0,0.0,0.0,2017,12,6
125,0,-2.5,39,3.4,2000,-14.5,0.0,0.0,0.0,2017,12,0
111,1,-3.4,36,3.8,2000,-16.3,0.0,0.0,0.0,2017,12,0
67,2,-4.2,35,3.4,2000,-17.4,0.0,0.0,0.0,2017,12,0
45,3,-4.7,38,2.4,2000,-16.8,0.0,0.0,0.0,2017,12,0
44,4,-5.2,35,3.2,2000,-18.3,0.0,0.0,0.0,2017,12,0
86,5,-5.6,38,3.2,1974,-17.6,0.0,0.0,0.0,2017,12,0
136,6,-5.9,39,2.9,1979,-17.6,0.0,0.0,0.0,2017,12,0
325,7,-6.0,39,3.1,1996,-17.7,0.0,0.0,0.0,2017,12,0
653,8,-6.0,38,3.6,1994,-18.0,0.01,0.0,0.0,2017,12,0
326,9,-5.9,36,5.1,1941,-18.6,0.1,0.0,0.0,2017,12,0
212,10,-5.3,32,4.5,2000,-19.4,0.62,0.0,0.0,2017,12,0
226,11,-4.7,36,3.8,2000,-17.5,1.0,0.0,0.0,2017,12,0
247,12,-5.2,33,4.6,1973,-19.0,1.26,0.0,0.0,2017,12,0
241,13,-5.4,32,5.1,1986,-19.5,1.24,0.0,0.0,2017,12,0
253,14,-5.4,31,4.1,1945,-19.9,1.13,0.0,0.0,2017,12,0
269,15,-5.5,33,4.5,2000,-19.2,0.92,0.0,0.0,2017,12,0
277,16,-6.0,40,4.0,2000,-17.4,0.55,0.0,0.0,2017,12,0
361,17,-7.1,44,4.2,2000,-17.3,0.18,0.0,0.0,2017,12,0
557,18,-7.9,43,3.3,2000,-18.3,0.0,0.0,0.0,2017,12,0
371,19,-8.6,45,3.9,2000,-18.4,0.0,0.0,0.0,2017,12,0
254,20,-9.3,49,3.8,2000,-18.0,0.0,0.0,0.0,2017,12,0
266,21,-9.7,51,2.5,2000,-17.9,0.0,0.0,0.0,2017,12,0
222,22,-10.2,50,3.0,2000,-18.6,0.0,0.0,0.0,2017,12,0
174,23,-10.7,53,1.2,2000,-18.4,0.0,0.0,0.0,2017,12,0
133,0,-11.0,51,1.1,2000,-19.1,0.0,0.0,0.0,2017,12,1
127,1,-11.2,51,1.1,2000,-19.3,0.0,0.0,0.0,2017,12,1
95,2,-11.5,50,0.7,2000,-19.8,0.0,0.0,0.0,2017,12,1
54,3,-11.6,50,2.2,1995,-19.9,0.0,0.0,0.0,2017,12,1
46,4,-11.6,47,2.1,1982,-20.6,0.0,0.0,0.0,2017,12,1
65,5,-11.6,45,2.8,1951,-21.1,0.0,0.0,0.0,2017,12,1
104,6,-11.8,47,2.5,1973,-20.8,0.0,0.0,0.0,2017,12,1
280,7,-12.1,50,2.3,1929,-20.4,0.0,0.0,0.0,2017,12,1
580,8,-12.3,52,1.3,1914,-20.1,0.0,0.0,0.0,2017,12,1
275,9,-11.8,46,2.9,1956,-21.1,0.1,0.0,0.0,2017,12,1
184,10,-10.5,45,3.3,1855,-20.1,0.6,0.0,0.0,2017,12,1
201,11,-9.4,42,3.1,1815,-19.9,0.93,0.0,0.0,2017,12,1
228,12,-8.3,35,2.9,1967,-21.0,1.14,0.0,0.0,2017,12,1
225,13,-6.9,37,2.4,1955,-19.1,1.22,0.0,0.0,2017,12,1
258,14,-5.4,32,2.0,1930,-19.5,1.12,0.0,0.0,2017,12,1
250,15,-5.8,30,2.8,2000,-20.6,0.92,0.0,0.0,2017,12,1
248,16,-6.0,29,2.8,1983,-21.2,0.58,0.0,0.0,2017,12,1
305,17,-7.0,32,2.6,2000,-20.9,0.19,0.0,0.0,2017,12,1
529,18,-7.7,36,1.0,2000,-20.2,0.0,0.0,0.0,2017,12,1
350,19,-8.2,43,1.1,2000,-18.5,0.0,0.0,0.0,2017,12,1
260,20,-8.4,42,1.0,2000,-19.0,0.0,0.0,0.0,2017,12,1
270,21,-8.8,43,1.4,1999,-19.1,0.0,0.0,0.0,2017,12,1
256,22,-9.0,45,1.3,1999,-18.7,0.0,0.0,0.0,2017,12,1
173,23,-9.3,47,2.1,2000,-18.5,0.0,0.0,0.0,2017,12,1
168,0,-9.5,48,1.3,1996,-18.4,0.0,0.0,0.0,2017,12,2
183,1,-10.2,52,1.6,1997,-18.2,0.0,0.0,0.0,2017,12,2
120,2,-10.4,53,1.8,1949,-18.1,0.0,0.0,0.0,2017,12,2
79,3,-10.9,55,1.8,1913,-18.1,0.0,0.0,0.0,2017,12,2
41,4,-11.4,58,1.3,1907,-18.0,0.0,0.0,0.0,2017,12,2
68,5,-11.5,58,1.1,1923,-18.1,0.0,0.0,0.0,2017,12,2
109,6,-11.9,57,1.1,1974,-18.7,0.0,0.0,0.0,2017,12,2
310,7,-11.7,53,1.6,1998,-19.3,0.0,0.0,0.0,2017,12,2
591,8,-11.4,47,3.3,2000,-20.4,0.0,0.0,0.0,2017,12,2
340,9,-11.1,46,3.4,1981,-20.4,0.1,0.0,0.0,2017,12,2
202,10,-9.5,39,2.1,1875,-20.9,0.6,0.0,0.0,2017,12,2
251,11,-8.1,35,1.8,1806,-20.9,0.96,0.0,0.0,2017,12,2
267,12,-6.5,30,2.9,1945,-21.2,1.17,0.0,0.0,2017,12,2
251,13,-5.8,28,2.9,1887,-21.4,1.23,0.0,0.0,2017,12,2
240,14,-4.7,27,2.9,1883,-20.8,1.12,0.0,0.0,2017,12,2
240,15,-4.9,26,3.1,1887,-21.5,0.89,0.0,0.0,2017,12,2
278,16,-4.5,26,2.2,2000,-21.1,0.56,0.0,0.0,2017,12,2
392,17,-5.6,29,1.7,2000,-20.8,0.18,0.0,0.0,2017,12,2
537,18,-6.6,33,1.1,2000,-20.2,0.0,0.0,0.0,2017,12,2
373,19,-6.6,31,1.6,2000,-20.9,0.0,0.0,0.0,2017,12,2
263,20,-7.6,35,0.8,2000,-20.4,0.0,0.0,0.0,2017,12,2
271,21,-8.3,39,1.0,2000,-19.8,0.0,0.0,0.0,2017,12,2
271,22,-8.9,39,0.1,2000,-20.3,0.0,0.0,0.0,2017,12,2
174,23,-9.2,44,0.4,1978,-19.2,0.0,0.0,0.0,2017,12,2
171,0,-9.5,50,0.6,1953,-18.0,0.0,0.0,0.0,2017,12,3
170,1,-9.8,48,0.8,2000,-18.7,0.0,0.0,0.0,2017,12,3
107,2,-10.6,44,0.8,1903,-20.5,0.0,0.0,0.0,2017,12,3
80,3,-10.7,48,0.4,1651,-19.6,0.0,0.0,0.0,2017,12,3
52,4,-11.0,50,0.8,1718,-19.4,0.0,0.0,0.0,2017,12,3
62,5,-10.8,48,0.8,1648,-19.6,0.0,0.0,0.0,2017,12,3
108,6,-11.0,55,0.8,1541,-18.2,0.0,0.0,0.0,2017,12,3
279,7,-10.9,57,1.1,1387,-17.7,0.0,0.0,0.0,2017,12,3
621,8,-10.4,54,1.1,1432,-17.9,0.01,0.0,0.0,2017,12,3
305,9,-9.4,44,0.5,1680,-19.4,0.13,0.0,0.0,2017,12,3
189,10,-7.7,43,0.9,1555,-18.1,0.35,0.0,0.0,2017,12,3
247,11,-6.1,38,1.0,1587,-18.1,0.52,0.0,0.0,2017,12,3
278,12,-4.9,34,1.3,1768,-18.3,0.6,0.0,0.0,2017,12,3
282,13,-3.8,32,0.9,1827,-18.1,0.52,0.0,0.0,2017,12,3
294,14,-2.7,28,0.7,1857,-18.7,0.65,0.0,0.0,2017,12,3
301,15,-2.5,29,1.1,1667,-18.1,0.48,0.0,0.0,2017,12,3
335,16,-2.4,28,0.9,1878,-18.4,0.35,0.0,0.0,2017,12,3
382,17,-2.9,31,0.6,1723,-17.7,0.09,0.0,0.0,2017,12,3
612,18,-3.5,35,1.1,1414,-16.7,0.0,0.0,0.0,2017,12,3
410,19,-4.2,40,0.9,1216,-15.8,0.0,0.0,0.0,2017,12,3
277,20,-4.8,43,1.1,1397,-15.4,0.0,0.0,0.0,2017,12,3
